#F EADL97_MShellConstants.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 Shell constants.
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLShellConstants.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 M1 x-ray data
#N 6
#L Z  f12  f13  f14  f15  omegaM1
74  6.9062E-02  6.2369E-01  3.0593E-03
75  6.8984E-02  6.1956E-01  3.2642E-03
76  6.8587E-02  6.1678E-01  3.4726E-03
77  6.8090E-02  6.1450E-01  3.7217E-03
78  6.8262E-02  6.1173E-01  3.9944E-03
79  7.2350E-02  6.0473E-01  4.5029E-03
80  8.0589E-02  5.9407E-01  5.2836E-03
81  8.0608E-02  5.9359E-01  5.6372E-03
82  8.0236E-02  5.9270E-01  5.9837E-03
83  7.9987E-02  5.9198E-01  6.3566E-03
84  7.6415E-02  5.9638E-01  6.7901E-03
85  7.0457E-02  6.0389E-01  7.2615E-03
86  5.9640E-02  6.1669E-01  7.8131E-03
87  5.9909E-02  6.1916E-01  8.2755E-03
88  5.9919E-02  6.2075E-01  8.7516E-03
89  5.9913E-02  6.2418E-01  9.2820E-03
90  6.0298E-02  6.2597E-01  9.8812E-03
91  6.4234E-02  6.2670E-01  1.0943E-02
92  6.4275E-02  6.3025E-01  1.1528E-02
93  6.4392E-02  6.3552E-01  1.2187E-02
94  6.4903E-02  6.4078E-01  1.2919E-02
95  6.9192E-02  6.4273E-01  1.4356E-02
96  6.7615E-02  6.5031E-01  1.5327E-02
97  6.4186E-02  6.6054E-01  1.5631E-02
98  5.9136E-02  6.7585E-01  1.6578E-02
99  5.2394E-02  6.9086E-01  1.7402E-02
100  4.6480E-02  7.0812E-01  1.8275E-02

#S 4 M4 x-ray data
#N 3
#L Z  f45  omegaM4
1  0.0000E+00  0.0000E+00
2  0.0000E+00  0.0000E+00
3  0.0000E+00  0.0000E+00
4  0.0000E+00  0.0000E+00
5  0.0000E+00  0.0000E+00
6  0.0000E+00  0.0000E+00
7  0.0000E+00  0.0000E+00
8  0.0000E+00  0.0000E+00
9  0.0000E+00  0.0000E+00
10  0.0000E+00  0.0000E+00
11  0.0000E+00  0.0000E+00
12  0.0000E+00  0.0000E+00
13  0.0000E+00  0.0000E+00
14  0.0000E+00  0.0000E+00
15  0.0000E+00  0.0000E+00
16  0.0000E+00  0.0000E+00
17  0.0000E+00  0.0000E+00
18  0.0000E+00  0.0000E+00
19  0.0000E+00  0.0000E+00
